Common name,Scientific name,Family,Tag,Width,Soil pH,Height,USDA Hardiness zone,Water requirement,Life cycle,Soil type,Light requirement,Utility,Alternate name,Task Recommendations.,vec_0,vec_1,vec_2,vec_3,vec_4,vec_5,vec_6,vec_7,vec_8,vec_9,vec_10,vec_11
Alder ,Alnus glutinosa,Betulaceae,Nitrogen fixer,12.0,5.0 - 6.5,30.0,5-7,"Dry, Moist",Perennial,"Light (sandy), Medium, Heavy (clay)",Full sun,"Weaving material, Fire starter, Hair, Starch, Tannin, Lumber",European chestnut,"Plant in moist, well-drained acidic to neutral soils near water bodies for optimal growth, Sow seeds in spring after cold stratification for 90 days to break dormancy, Provide full sun to partial shade exposure, Maintain consistent soil moisture especially during establishment phase, Apply organic mulch to protect roots and retain moisture, Prune in late winter to remove dead wood and promote healthy canopy development, Monitor for alder canker and treat with appropriate fungicides, Utilize nitrogen-fixing root nodules to improve soil fertility, Thin young stands to reduce competition and promote strong growth, Avoid planting in waterlogged or saline soils",1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.36363636363636365
Aleppo Oak ,Quercus infectoria,Fagaceae,Deep root system,8.0,6.0 - 7.5,1.8,6-8,Moist,Perennial,"Medium, Heavy (clay)","Full sun, Partial sun/shade","Ink, Tannin",Oak,"Sow acorns in autumn after soaking in water for 24 hours to enhance germination, Plant in well-drained, slightly acidic to neutral soils with full sun exposure, Apply mulch to conserve moisture and regulate soil temperature, Irrigate moderately during dry periods especially in first 3 years, Prune dead or crossing branches in dormant season to maintain tree structure, Monitor for oak wilt and other fungal diseases and apply preventive fungicides, Use slow-release balanced fertilizer in early spring if growth is poor, Protect young trees from browsing animals using guards, Harvest acorns in autumn for propagation or wildlife feed",0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.7272727272727273
Aletris farinosa,Aletris farinosa,Liliaceae,Any crop,0.45,5.5 - 6.5,0.6,6-9,Moist,Perennial,"Light (sandy), Medium",Full sun,Medicinal,White colicroot,"Sow seeds in fall on surface of moist, well-drained acidic soils with high organic matter, Stratify seeds for 60 days at 4°C to improve germination, Maintain partial shade conditions to prevent leaf scorch, Water regularly to keep soil consistently moist but not waterlogged, Apply mulch to retain moisture and suppress weeds, Thin seedlings to 15 cm spacing to reduce competition, Avoid excessive nitrogen fertilization to prevent foliage overgrowth at expense of flowering, Control slugs and snails which may damage young plants, Harvest flowers in late summer for medicinal uses, Avoid transplanting mature plants due to sensitive root systems",0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.45454545454545453
Alfalfa,Medicago sativa,Fabaceae or leguminosae,Nitrogen fixer,0.5,6.0 - 7.5,1.0,4-8,"Dry, Moist",Perennial,"Light (sandy), Medium, Heavy (clay)",Full sun,"Biomass, Companion, Dye, Cover crop, Hedgerow, oil, textiles, Dynamic accumulator, Nitrogen fixer",Yellow alfalfa,"Inoculate seeds with Rhizobium meliloti bacteria before sowing to enhance nitrogen fixation, Sow in well-drained loamy soils with neutral pH in early spring, Apply phosphorus and potassium based on soil test results, Irrigate regularly to maintain soil moisture especially during flowering and seed set, Thin seedlings to 15-20 cm spacing to optimize growth, Use rotational grazing or cutting to maximize forage quality, Apply sulfur fertilizer if deficiency symptoms appear, Monitor for alfalfa weevil and aphids and apply integrated pest management, Harvest at early bloom stage for highest nutritional value, Avoid soil compaction to maintain root health",1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.7272727272727273
Alhagi maurorum,Alhagi maurorum,Fabaceae or leguminosae,Nitrogen fixer,1.5,6.0 - 7.5,2.0,6-10,"Dry, Moist",Perennial,"Light (sandy), Medium",Full sun,"Nitrogen fixer, Fragrance","Camelthorn, manna plant","Sow scarified seeds in early spring in well-drained sandy or loamy soils with neutral pH, Provide full sun exposure and protect from frost, Irrigate moderately during establishment but tolerate drought once mature, Apply organic mulch to conserve moisture and suppress weeds, Prune annually after flowering to control growth and improve biomass quality, Monitor for root rot in poorly drained soils and improve drainage if necessary, Use as a forage plant in arid regions due to drought tolerance, Avoid overgrazing to maintain plant health, Harvest pods when mature for seed collection, Incorporate into soil conservation programs due to deep root system",1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.7272727272727273
Alkanna tinctoria,Alkanna tinctoria,Boraginaceae,Any crop,0.3,6.0 - 7.0,0.2,6-9,"Dry, Moist",Perennial,"Light (sandy), Medium","Full sun, Partial sun/shade","Dye, Litmus",Alkanna,"Sow seeds in spring in well-drained, sandy to loamy soils with neutral to slightly alkaline pH, Provide full sun exposure to promote root development, Maintain moderate soil moisture avoiding waterlogging, Thin seedlings to 20 cm spacing to reduce competition, Apply low nitrogen fertilizer to encourage root rather than foliage growth, Mulch to conserve moisture and suppress weeds, Harvest roots in autumn after 2-3 years for dye extraction, Control fungal diseases by ensuring good air circulation, Avoid heavy clay soils to prevent root rot, Use crop rotation to reduce pest buildup",1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.6363636363636364
Allanblackia stuhlmannii,Allanblackia stuhlmannii,Clusiaceae,Fruit/seed producer,10.0,5.5 - 6.5,35.0,10-12,Moist,Perennial,"Medium, Heavy (clay)",Full sun,"Containers, Dye, Fire starter, Lighting, oil, Lumber","Msambo, other names: mkange, mkanye, mkimbo, msambu, mwaka","Sow fresh seeds in well-drained, fertile soils with slightly acidic pH, Plant in shaded nursery beds before transplanting to field, Provide partial shade during early growth to reduce stress, Irrigate regularly in dry seasons to maintain soil moisture, Apply organic compost annually to support nutrient demands, Prune selectively to remove dead wood and improve canopy structure, Monitor for pests such as stem borers and apply biological controls, Mulch heavily to conserve moisture and suppress weeds, Harvest seeds after 3-4 years for oil production, Avoid planting in waterlogged or compacted soils",0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.45454545454545453
Alliaria petiolata,Alliaria petiolata,Brassicaceae or cruciferae,Pest repellent,0.3,6.0 - 7.5,1.0,6-8,"Moist, Wet",Biennial,"Light (sandy), Medium, Heavy (clay)","Partial sun/shade, Full shade","Dye, Fragrance","Garlic mustard, hedge garlic","Sow seeds in fall or early spring in moist, well-drained soils with neutral to slightly alkaline pH, Maintain partial to full shade conditions to mimic natural understory habitat, Thin seedlings to 15 cm spacing to reduce competition, Apply mulch to retain moisture and suppress weeds, Control invasive spread by removing seed heads before maturity, Monitor for fungal leaf spot and treat with fungicides if necessary, Avoid excessive nitrogen fertilization to prevent overgrowth, Harvest leaves before flowering for culinary use, Use in restoration projects to outcompete invasive species, Manage irrigation to keep soil moist but not saturated",0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.7272727272727273
Allium acuminatum,Allium acuminatum,Alliaceae,Culinary vegetable,0.3,6.0 - 7.0,0.3,5-9,"Dry, Moist",Perennial,"Light (sandy), Medium",Full sun,"Edible bulb, ornamental",Tapertip onion,"Sow seeds in well-drained sandy or loamy soils with neutral pH in early spring, Provide full sun exposure to promote bulb development, Maintain moderate soil moisture avoiding waterlogging, Thin seedlings to 10 cm spacing to reduce competition, Apply low nitrogen fertilizer to encourage bulb growth, Mulch to conserve moisture and suppress weeds, Harvest bulbs in late summer when foliage begins to yellow, Store bulbs in cool, dry conditions to prevent rot, Monitor for onion thrips and apply integrated pest management, Avoid heavy clay soils to prevent bulb rot",1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.6363636363636364
Allium aflatunense,Allium aflatunense,Alliaceae,Pollinator attractor,0.3,6.0 - 7.0,1.0,4-8,Moist,Perennial,"Light (sandy), Medium",Full sun,"Edible bulb, ornamental",Ornamental onion,"Sow seeds or bulbs in well-drained, sandy loam soil in early spring, Provide full sun exposure to maximize flowering, Maintain moderate soil moisture avoiding waterlogging, Thin seedlings to 15-20 cm spacing to reduce competition, Apply balanced fertilizer low in nitrogen to promote flower development, Mulch to conserve moisture and suppress weeds, Deadhead spent flowers to encourage prolonged bloom, Protect from bulb rot by ensuring good drainage, Control onion thrips with insecticidal soap or neem oil, Harvest bulbs in late summer if propagating",0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.6363636363636364
Allium altaicum,Allium altaicum,Alliaceae,Culinary vegetable,0.3,6.0 - 7.0,0.3,4-7,Moist,Perennial,"Light (sandy), Medium",Full sun,"Edible bulb, ornamental",Altai onion,"Sow seeds in well-drained, sandy to loamy soils with neutral pH in early spring, Provide full sun to partial shade for optimal growth, Maintain consistent moderate moisture avoiding waterlogging, Thin seedlings to 10-15 cm spacing to reduce competition, Apply low nitrogen fertilizer to encourage bulb formation, Mulch to retain soil moisture and suppress weeds, Harvest bulbs in late summer after foliage yellows, Store bulbs in cool, dry conditions to prevent rot, Monitor for fungal diseases and treat promptly, Avoid heavy clay soils to prevent root rot",0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.6363636363636364
Allium atropurpureum,Allium atropurpureum,Alliaceae,Pollinator attractor,0.45,6.0 - 7.0,1.0,7-10,Moist,Perennial,"Light (sandy), Medium","Full sun, Partial sun/shade",Ornamental,Dark purple onion,"Plant bulbs in well-drained, fertile soil with neutral pH in fall or early spring, Ensure full sun exposure to promote flowering, Maintain moderate soil moisture avoiding waterlogging, Thin plants to 15 cm spacing to reduce competition, Apply phosphorus-rich fertilizer to encourage bulb and flower development, Mulch to conserve moisture and reduce weed growth, Deadhead flowers to promote continued blooming, Protect bulbs from rodents using physical barriers, Harvest bulbs after foliage dies back for propagation, Monitor for fungal diseases and treat with fungicides as needed",0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.6363636363636364
Allium cepa ,Allium cepa,Alliaceae,Culinary vegetable,0.6,6.0 - 8.0,1.5,10-12,Moist,Annual,"Light (sandy), Medium, Heavy (clay)",Full sun,"Dye, Soap","Goosefoot, pigweed, inca wheat, suba, quinua, kiuna, inca rice, petty rice, huauzontle","Sow seeds indoors 8-10 weeks before last frost or direct sow in well-drained loamy soil with neutral pH, Transplant seedlings at 10-15 cm spacing when 10 cm tall, Apply nitrogen-rich fertilizer early then reduce to promote bulb formation, Maintain consistent soil moisture especially during bulb swelling, Thin plants to avoid overcrowding and promote bulb size, Mulch to conserve moisture and suppress weeds, Monitor for onion maggot and thrips, apply integrated pest management, Harvest when tops fall over and dry, Cure bulbs in warm dry place for storage",0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.8181818181818182
Allium douglasii,Allium douglasii,Alliaceae,Culinary vegetable,0.3,6.0 - 7.0,0.3,4-7,"Dry, Moist",Perennial,"Light (sandy), Medium",Full sun,"Edible bulb, ornamental",Douglas' onion,"Sow seeds in well-drained sandy or loamy soils with neutral pH in early spring, Provide full sun exposure for optimal growth, Maintain moderate soil moisture avoiding waterlogging, Thin seedlings to 10-15 cm spacing to reduce competition, Apply low nitrogen fertilizer to encourage bulb development, Mulch to retain moisture and suppress weeds, Harvest bulbs in late summer after foliage yellows, Store bulbs in cool, dry conditions to prevent rot, Monitor for fungal diseases and treat promptly, Avoid heavy clay soils to prevent root rot",1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.6363636363636364
Allium platycaule,Allium platycaule,Alliaceae,Culinary vegetable,0.3,6.0 - 7.0,0.1,5-9,"Dry, Moist",Perennial,"Light (sandy), Medium",Full sun,"Edible bulb, ornamental",Broad-stemmed onion,"Sow seeds or plant bulbs in well-drained, sandy loam soils with neutral pH in early spring, Provide full sun exposure to maximize growth, Maintain moderate soil moisture avoiding waterlogging, Thin seedlings to 15 cm spacing to reduce competition, Apply balanced fertilizer low in nitrogen to promote bulb and flower development, Mulch to conserve moisture and suppress weeds, Harvest bulbs after foliage dies back for propagation, Protect bulbs from rodents using physical barriers, Monitor for fungal diseases and treat as necessary, Deadhead flowers to encourage prolonged blooming",1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.6363636363636364
Allium porrum,Allium porrum,"Alliaceae, Liliaceae",Culinary vegetable,0.15,6.0-6.5,0.9,5-9,Moist,"Biennial, Perennial","Light (sandy), Medium",Full sun,"Pest control, Repels carrot rust flies",Garden leek,"Sow seeds indoors 8-10 weeks before last frost or direct sow in well-drained loamy soil with neutral pH, Transplant seedlings at 10-15 cm spacing when 10 cm tall, Apply nitrogen-rich fertilizer early to promote leaf growth, Maintain consistent soil moisture especially during elongation phase, Hill soil around stems to blanch lower stalks, Mulch to conserve moisture and suppress weeds, Monitor for leek moth and thrips and apply integrated pest management, Harvest when stalks reach 2-3 cm diameter, Cure harvested leeks in cool, dry place for storage",0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.5454545454545454
Allium ramosum,Allium ramosum,Alliaceae,Culinary vegetable,0.45,6.0 - 7.0,0.5,6-9,"Dry, Moist",Perennial,"Light (sandy), Medium",Full sun,"Edible bulb, ornamental",Fragrant-flowered garlic,"Sow seeds in well-drained sandy or loamy soils with neutral pH in early spring, Provide full sun exposure for optimal growth, Maintain moderate soil moisture avoiding waterlogging, Thin seedlings to 10-15 cm spacing to reduce competition, Apply low nitrogen fertilizer to encourage bulb development, Mulch to retain moisture and suppress weeds, Harvest bulbs in late summer after foliage yellows, Store bulbs in cool, dry conditions to prevent rot, Monitor for fungal diseases and treat promptly, Avoid heavy clay soils to prevent root rot",1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.6363636363636364
Allium roseum,Allium roseum,Alliaceae,Pollinator attractor,0.45,6.0 - 7.0,0.4,7-10,"Dry, Moist",Perennial,"Light (sandy), Medium",Full sun,"Edible bulb, ornamental",Rosy garlic,"Sow seeds or plant bulbs in well-drained sandy loam soils with neutral pH in early spring, Provide full sun exposure to maximize growth, Maintain moderate soil moisture avoiding waterlogging, Thin seedlings to 15 cm spacing to reduce competition, Apply balanced fertilizer low in nitrogen to promote bulb and flower development, Mulch to conserve moisture and suppress weeds, Harvest bulbs after foliage dies back for propagation, Protect bulbs from rodents using physical barriers, Monitor for fungal diseases and treat as necessary, Deadhead flowers to encourage prolonged blooming",1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.6363636363636364
Allium wallichii,Allium wallichii,Alliaceae,Culinary vegetable,0.45,6.0 - 7.0,0.6,7-10,Moist,Perennial,"Light (sandy), Medium",Full sun,"Edible bulb, ornamental",Wallich's onion,"Sow seeds in well-drained sandy or loamy soils with neutral pH in early spring, Provide full sun to partial shade for optimal growth, Maintain moderate soil moisture avoiding waterlogging, Thin seedlings to 10-15 cm spacing to reduce competition, Apply low nitrogen fertilizer to encourage bulb development, Mulch to retain moisture and suppress weeds, Harvest bulbs in late summer after foliage yellows, Store bulbs in cool, dry conditions to prevent rot, Monitor for fungal diseases and treat promptly, Avoid heavy clay soils to prevent root rot",0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.6363636363636364
Allocasuarina littoralis,Allocasuarina littoralis,Casuarinaceae,Nitrogen fixer,8.0,5.5 - 6.5,8.0,9-11,Moist,Perennial,"Light (sandy), Medium, Heavy (clay)",Full sun,"Fire starter, Hedgerow, Wind breaker, Erosion control, Tannin, Lumber, Nitrogen fixer","Bull oak, wayetuck","Plant seedlings in well-drained sandy or loamy soils with slightly acidic to neutral pH, Provide full sun exposure for optimal growth, Irrigate regularly during establishment but reduce frequency once established, Apply organic mulch to conserve moisture and suppress weeds, Prune selectively to maintain shape and remove dead wood, Monitor for insect pests such as psyllids and treat with biological controls, Use nitrogen-fixing properties to improve soil fertility in agroforestry, Thin dense stands to reduce competition, Avoid planting in waterlogged or saline soils, Use for windbreaks and erosion control in coastal areas",0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.45454545454545453
Almond,Prunus dulcis,Rosaceae,Fruit/seed producer,4.0,5.5 - 6.5,9.0,7-9,Moist,Perennial,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade","Rootstock, Lumber",Caucasian persimmon,"Plant in deep, well-drained loamy soils with neutral to slightly alkaline pH, Sow or graft in late winter to early spring, Provide full sun exposure and protect from late frosts, Irrigate deeply and regularly during flowering and nut development, Apply potassium and phosphorus fertilizers to support nut production, Prune annually in late winter to improve air circulation and sunlight penetration, Monitor for fungal diseases such as powdery mildew and apply fungicides, Use integrated pest management for aphids and mites, Harvest nuts when hulls split and dry, Cure nuts properly to prevent mold during storage",0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.45454545454545453
